"id","name","purpose","price","image","cpu","gpu","mainboard","ram","storage","psu","case","cooler","description","rating"
"build-gaming-8m","PC Gaming 8 Triệu - Entry eSports","gaming","8000000","/images/builds/gaming-8m.jpg","Intel Core i3-12100F","NVIDIA GTX 1650 4GB","Gigabyte B660M DS3H DDR4","8GB DDR4-3200","Kingston NV2 500GB NVMe","Thermaltake Smart 600W 80+ White","Phanteks Eclipse G360A","Box Intel","PC gaming giá rẻ chơi được eSports (Valorant, LOL, CS2) ở FHD 60-100fps. Bước đầu vào gaming.","4"
"build-gaming-10m","PC Gaming 10 Triệu - eSports Mượt","gaming","10000000","/images/builds/gaming-10m.jpg","Intel Core i5-12400F","AMD Radeon RX 7600 8GB","Gigabyte B660M DS3H DDR4","16GB DDR4-3200 (2x8)","Kingston NV2 500GB NVMe","Cooler Master MWE 550W Bronze","Phanteks Eclipse G360A","ID-Cooling SE-214-XT","PC chơi eSports mượt mà + game AAA medium FHD. Best value ở tầm 10 triệu.","4.3"
"build-gaming-12m","PC Gaming 12 Triệu - FHD All Games","gaming","12000000","/images/builds/gaming-12m.jpg","Intel Core i5-12400F","AMD Radeon RX 7600 8GB","MSI PRO B660M-A WiFi DDR4","16GB DDR4-3200 (2x8)","WD Black SN770 1TB","Corsair CV650 Bronze","Corsair 4000D Airflow","Thermalright PA120 SE","Chơi mọi game FHD High-Ultra 60fps+. Tầm giá hot nhất cho gaming.","4.4"
"build-gaming-15m","PC Gaming 15 Triệu - FHD Ultra Mạnh","gaming","15000000","/images/builds/gaming-15m.jpg","AMD Ryzen 5 5600","NVIDIA RTX 4060 8GB","MSI MAG B550 TOMAHAWK","16GB DDR4-3600 (2x8)","WD Black SN770 1TB","Corsair RM650e 650W Gold","NZXT H5 Flow","DeepCool AK400","FHD Ultra mượt mà, DLSS 3, Ray Tracing nhẹ. RTX 4060 cực mạnh tầm giá.","4.5"
"build-gaming-17m","PC Gaming 17 Triệu - FHD Max + 1440p","gaming","17000000","/images/builds/gaming-17m.jpg","Intel Core i5-14400F","NVIDIA RTX 4060 8GB","MSI MAG B760 TOMAHAWK WiFi","32GB DDR5-5600 (2x16)","WD Black SN770 1TB","Corsair RM650e Gold","Lian Li Lancool II Mesh","Thermalright PA120 SE","FHD Ultra + bắt đầu 1440p medium-high. DDR5 platform cho tương lai.","4.6"
"build-gaming-20m","PC Gaming 20 Triệu - 1440p Gaming","gaming","20000000","/images/builds/gaming-20m.jpg","Intel Core i5-14600KF","NVIDIA RTX 4060 Ti 8GB","MSI MAG B760 TOMAHAWK WiFi","32GB DDR5-5600 (2x16)","Samsung 990 Pro 1TB","Corsair RM750e Gold","Corsair 4000D Airflow","DeepCool AK620","1440p High-Ultra 60-100fps. CPU ép xung được, SSD flagship. Setup gaming chất lượng.","4.6"
"build-gaming-22m","PC Gaming 22 Triệu - 1440p Mạnh","gaming","22000000","/images/builds/gaming-22m.jpg","AMD Ryzen 5 7600X","NVIDIA RTX 4070 Super 12GB","MSI MAG B650 TOMAHAWK WiFi","32GB DDR5-6000 (2x16)","Samsung 990 Pro 1TB","Corsair RM750e Gold","NZXT H7 Flow","Arctic Liquid Freezer II 240","1440p Ultra mượt 100fps+. AM5 platform upgrade được CPU future. RTX 4070 Super mạnh mẽ.","4.7"
"build-gaming-25m","PC Gaming 25 Triệu - 1440p Ultra Dream","gaming","25000000","/images/builds/gaming-25m.jpg","AMD Ryzen 7 7800X3D","NVIDIA RTX 4070 Super 12GB","MSI MAG B650 TOMAHAWK WiFi","32GB DDR5-6000 (2x16)","Samsung 990 Pro 1TB + WD Blue 2TB HDD","Corsair RM850x Gold","Lian Li Lancool III","Arctic Liquid Freezer II 240","VUA GAMING 1440p! 7800X3D V-Cache + RTX 4070S = FPS cao nhất tầm giá. Dual storage.","4.8"
"build-gaming-30m","PC Gaming 30 Triệu - 4K Entry","gaming","30000000","/images/builds/gaming-30m.jpg","AMD Ryzen 7 7800X3D","NVIDIA RTX 4070 Ti Super 16GB","ASUS TUF GAMING B650-PLUS WiFi","32GB DDR5-6000 (2x16)","Samsung 990 Pro 2TB","Corsair RM850x Gold","Lian Li O11 Dynamic EVO","Arctic Liquid Freezer II 360","4K gaming entry + 1440p Ultra 144fps. 7800X3D tối ưu FPS, 4070 Ti Super 16GB VRAM.","4.8"
"build-gaming-35m","PC Gaming 35 Triệu - 4K Mạnh","gaming","35000000","/images/builds/gaming-35m.jpg","Intel Core i7-14700KF","NVIDIA RTX 4080 Super 16GB","MSI MAG Z790 TOMAHAWK WiFi","32GB DDR5-6000 (2x16)","Samsung 990 Pro 2TB + WD Blue 4TB HDD","Corsair RM1000x Gold","Corsair 5000D Airflow","Corsair iCUE H150i Elite LCD XT 360","4K Ultra 60-100fps. RTX 4080 Super xử lý mọi game 4K. Z790 platform cho i7-14700KF.","4.8"
"build-gaming-40m","PC Gaming 40 Triệu - 4K Ultra Dream","gaming","40000000","/images/builds/gaming-40m.jpg","AMD Ryzen 9 7950X3D","NVIDIA RTX 4080 Super 16GB","ASUS ROG STRIX X670E-E Gaming WiFi","64GB DDR5-6000 (2x32)","Samsung 990 Pro 2TB + Crucial T500 2TB","be quiet! Dark Power 13 1000W Titanium","Lian Li O11 Dynamic EVO","NZXT Kraken 360","4K Ultra max settings. Dual 2TB SSD. 64GB RAM cho streaming + gaming song song.","4.9"
"build-gaming-50m","PC Gaming 50 Triệu - RTX 4090 Build","gaming","50000000","/images/builds/gaming-50m.jpg","Intel Core i9-14900K","NVIDIA GeForce RTX 4090 FE 24GB","MSI MPG Z790 EDGE WiFi","64GB DDR5-6400 (2x32)","Crucial T700 2TB PCIe 5.0","Corsair RM1000x Gold","Corsair 7000D Airflow","NZXT Kraken 360 LCD","RTX 4090 DREAM BUILD! 4K Ultra 120fps+, 8K ready. PCIe 5.0 SSD cực nhanh.","4.9"
"build-gaming-60m","PC Gaming 60 Triệu - Ultimate Showcase","gaming","60000000","/images/builds/gaming-60m.jpg","Intel Core i9-14900K","ASUS ROG STRIX RTX 4090 OC 24GB","ASUS ROG MAXIMUS Z790 HERO","64GB DDR5-7200 (2x32) G.Skill","Crucial T700 2TB + Samsung 990 Pro 2TB","Seasonic PRIME TX-1000 Titanium","Lian Li O11D XL","Corsair iCUE H150i Elite LCD XT","ULTIMATE GAMING PC! ROG 4090 OC, Z790 HERO, 4TB SSD, Titanium PSU. Showcase build.","5"
"build-gaming-70m","PC Gaming 70 Triệu - No Compromise","gaming","70000000","/images/builds/gaming-70m.jpg","AMD Ryzen 9 7950X3D","ASUS ROG STRIX RTX 4090 OC 24GB","ASUS ROG CROSSHAIR X670E HERO","64GB DDR5-6400 G.Skill Trident Z5 RGB","Crucial T700 2TB + Samsung 990 Pro 4TB","be quiet! Dark Power 13 1000W Titanium","Lian Li O11D XL","EK-AIO 360 D-RGB","ABSOLUTE BEST PC MONEY CAN BUY. 7950X3D + ROG 4090, X670E HERO, full premium.","5"
"build-office-5m","PC Văn Phòng 5 Triệu - Cơ bản","office","5000000","/images/builds/office-5m.jpg","Intel Core i3-12100","Tích hợp UHD 730","Gigabyte B660M DS3H DDR4","8GB DDR4-3200","Kingston A400 480GB SATA","Thermaltake Smart 600W","Case Xigmatek Basic","Box Intel","PC văn phòng cơ bản: Word, Excel, web, email. Tiết kiệm tối đa.","4"
"build-office-6m","PC Văn Phòng 6 Triệu - Ổn định","office","6000000","/images/builds/office-6m.jpg","Intel Core i3-14100","Tích hợp UHD 730","MSI PRO B760M-A WiFi","8GB DDR5-4800","Kingston NV2 500GB NVMe","Cooler Master MWE 550W Bronze","Fractal Design Pop Air","Box Intel","Văn phòng ổn định, SSD NVMe, WiFi onboard. Đa nhiệm nhẹ.","4.2"
"build-office-7m","PC Văn Phòng 7 Triệu - Mượt mà","office","7000000","/images/builds/office-7m.jpg","AMD Ryzen 5 5600G","Tích hợp Vega 7","Gigabyte B550M DS3H","16GB DDR4-3200 (2x8)","Kingston NV2 500GB NVMe","Cooler Master MWE 550W Bronze","Fractal Design Pop Air","Box AMD Wraith Stealth","Ryzen APU + 16GB RAM = đa nhiệm mượt. Vega 7 chơi được game nhẹ. Best value văn phòng.","4.4"
"build-office-8m","PC Văn Phòng 8 Triệu - Cao cấp","office","8000000","/images/builds/office-8m.jpg","AMD Ryzen 5 5600G","Tích hợp Vega 7","MSI MAG B550M MORTAR WiFi","16GB DDR4-3200 (2x8)","WD Black SN770 1TB NVMe","Corsair CV650 Bronze","NZXT H5 Flow","DeepCool AK400","Văn phòng cao cấp: SSD 1TB, WiFi, case đẹp. Bền bỉ cho công ty.","4.4"
