"id","title","difficulty","estimatedTime","tools","steps"
"guide-build-pc-basic","Hướng dẫn lắp PC cơ bản từ A-Z","medium","2-3 giờ","[""Tua vít Phillips #2"",""Dây rút nhựa"",""Keo tản nhiệt (nếu cần)"",""Đèn pin/đèn bàn"",""Găng tay chống tĩnh điện (khuyến nghị)""]","[{""step"":1,""title"":""Chuẩn bị linh kiện và không gian"",""description"":""Đặt tất cả linh kiện lên bàn sạch, rộng. Mở hộp và kiểm tra đầy đủ phụ kiện. Đọc manual mainboard."",""tips"":[""Làm việc trên bề mặt không dẫn điện"",""Chạm vào vỏ case kim loại để xả tĩnh điện"",""Giữ lại hộp để bảo hành nếu cần""]},{""step"":2,""title"":""Lắp CPU lên mainboard"",""description"":""Mở nắp socket, đặt CPU đúng chiều (tam giác vàng = tam giác socket), đóng lever. Intel LGA: KHÔNG chạm chân pin. AMD AM5: chạm chân pin nhẹ nhàng."",""tips"":[""KHÔNG ấn mạnh CPU, phải vừa khít"",""Tam giác vàng trên CPU = góc tam giác trên socket"",""LGA 1700 có nắp bảo vệ, gỡ sau khi lắp CPU""],""warning"":""CPU lắp sai chiều sẽ cong/gãy chân pin. Hỏng cả CPU lẫn mainboard!""},{""step"":3,""title"":""Lắp RAM lên mainboard"",""description"":""Mở clip khe RAM, đặt RAM đúng chiều (rãnh khớp), ấn xuống đều 2 bên đến khi nghe click. Dual-channel: cắm khe A2 + B2."",""tips"":[""DDR5 và DDR4 rãnh khác nhau, không lắp lẫn được"",""Dual-channel (2 thanh) nhanh hơn single-channel 15-30%"",""Khe A2+B2 = khe thứ 2 và 4 tính từ CPU""]},{""step"":4,""title"":""Lắp SSD M.2 NVMe"",""description"":""Tháo ốc + heatsink M.2 trên mainboard, lắp SSD M.2 vào khe (góc 30°), ấn xuống và vặn ốc. Lắp lại heatsink."",""tips"":[""Khe M.2 đầu tiên (gần CPU) thường là PCIe 4.0/5.0 nhanh nhất"",""Heatsink giúp SSD mát hơn, không bị thermal throttle"",""SSD SATA 2.5\"" lắp riêng bằng cáp SATA""]},{""step"":5,""title"":""Lắp tản nhiệt CPU"",""description"":""Bôi keo tản nhiệt (hạt gạo ở giữa CPU). Lắp bracket mounting theo socket. Đặt cooler lên CPU, vặn ốc chéo đều. Cắm quạt vào CPU_FAN header."",""tips"":[""Keo tản nhiệt: chỉ cần lượng bằng hạt gạo/đậu"",""Vặn ốc chéo: trên-trái → dưới-phải → trên-phải → dưới-trái"",""AIO: lắp radiator trước, rồi pump lên CPU""],""warning"":""Quên bôi keo = CPU quá nhiệt, có thể hỏng!""},{""step"":6,""title"":""Lắp mainboard vào case"",""description"":""Lắp I/O shield (nếu có riêng). Vặn standoff ốc đúng vị trí ATX/mATX. Đặt mainboard vào case, bắt 9 ốc (ATX) hoặc 6 ốc (mATX)."",""tips"":[""Kiểm tra standoff vị trí đúng form factor"",""Lắp I/O shield trước khi đặt mainboard"",""Không vặn quá chặt, vừa đủ là được""]},{""step"":7,""title"":""Lắp PSU vào case"",""description"":""Đặt PSU vào vị trí (thường ở dưới case), quạt hướng xuống (nếu case có lỗ thông). Bắt 4 ốc phía sau."",""tips"":[""Quạt PSU hướng xuống nếu case có lưới lọc bụi dưới"",""Full modular: cắm cáp cần dùng trước khi lắp vào case"",""Semi-modular: cáp 24-pin và CPU 8-pin cố định""]},{""step"":8,""title"":""Cắm cáp nguồn mainboard"",""description"":""Cắm cáp ATX 24-pin vào mainboard (cạnh phải). Cắm cáp CPU 8-pin (hoặc 4+4-pin) vào góc trên mainboard. Luồn cáp qua lỗ cable management."",""tips"":[""24-pin phải ấn mạnh đến khi nghe click"",""CPU 8-pin ở góc trên trái mainboard, dễ quên"",""High-end board cần 2x CPU 8-pin (16-pin tổng)""]},{""step"":9,""title"":""Lắp GPU vào khe PCIe"",""description"":""Tháo bracket PCI phía sau case (thường 2-3 bracket). Mở clip khe PCIe x16, lắp GPU vào, ấn đến khi nghe click. Bắt ốc bracket."",""tips"":[""Dùng khe PCIe x16 đầu tiên (gần CPU nhất)"",""GPU nặng cần GPU support bracket để tránh cong"",""Cắm cáp nguồn GPU (6-pin/8-pin/12VHPWR) sau khi lắp""],""warning"":""KHÔNG quên cắm cáp nguồn GPU! PC sẽ không có hình hoặc không boot.""},{""step"":10,""title"":""Cắm cáp front panel và quạt"",""description"":""Cắm cáp power SW, reset SW, HDD LED, Power LED vào header front panel mainboard. Cắm USB front panel, Audio front panel, quạt case."",""tips"":[""Xem manual mainboard cho pinout front panel chính xác"",""Power SW không phân biệt +/-, LED có phân biệt +/-"",""USB 3.0 front panel: header 20-pin lớn xanh dương""]},{""step"":11,""title"":""Cable management và kiểm tra"",""description"":""Gom dây cáp gọn gàng bằng dây rút. Luồn cáp qua lỗ cable management phía sau. Kiểm tra tất cả kết nối trước khi bật nguồn."",""tips"":[""Đi dây sạch = airflow tốt hơn = linh kiện mát hơn"",""Cắt bớt dây rút thừa"",""Double-check: 24-pin, CPU 8-pin, GPU power, RAM click""]},{""step"":12,""title"":""Boot lần đầu và cài đặt"",""description"":""Bật PSU, nhấn nút power. Nếu có hình → vào BIOS. Enable XMP/EXPO cho RAM. Set boot priority USB. Cài Windows từ USB bootable."",""tips"":[""Nếu không có hình: kiểm tra lại GPU power, RAM, monitor cable"",""BIOS: enable XMP/EXPO, set fan curve"",""Cài driver: GPU driver từ NVIDIA/AMD, chipset driver từ mainboard website""]}]"
"guide-install-gpu","Hướng dẫn lắp/thay card đồ họa GPU","easy","15-30 phút","[""Tua vít Phillips #2""]","[{""step"":1,""title"":""Chuẩn bị"",""description"":""Tắt PC, rút nguồn, rút cáp GPU cũ (nếu có). Xả tĩnh điện bằng cách chạm vỏ case."",""tips"":[""Gỡ driver GPU cũ trước bằng DDU (Display Driver Uninstaller)""]},{""step"":2,""title"":""Tháo GPU cũ (nếu có)"",""description"":""Rút cáp nguồn GPU, mở ốc bracket, mở clip khe PCIe x16, nhẹ nhàng rút GPU ra."",""tips"":[""Clip PCIe x16 ở cuối khe, bấm xuống để mở"",""Đỡ GPU khi rút, tránh cong mainboard""]},{""step"":3,""title"":""Lắp GPU mới"",""description"":""Tháo bracket PCI cần thiết, lắp GPU vào khe PCIe x16 đầu tiên, ấn đến khi nghe click. Bắt ốc bracket."",""tips"":[""GPU nặng (RTX 4090) cần support bracket"",""Kiểm tra GPU clearance vs case trước khi mua""]},{""step"":4,""title"":""Cắm cáp nguồn và boot"",""description"":""Cắm cáp PCIe power (6-pin/8-pin/12VHPWR). Bật máy, cài driver mới từ website NVIDIA/AMD."",""tips"":[""12VHPWR: cắm thẳng, KHÔNG bẻ cong cáp gần connector"",""Dùng 2 cáp PCIe riêng biệt cho GPU high-end (không dùng 1 cáp Y-splitter)""]}]"
"guide-install-ram","Hướng dẫn nâng cấp RAM","easy","10-15 phút","[""Không cần công cụ""]","[{""step"":1,""title"":""Kiểm tra tương thích"",""description"":""Xác định loại RAM (DDR4/DDR5), số khe trống, tốc độ hỗ trợ tối đa từ manual mainboard."",""tips"":[""Kiểm tra QVL (Qualified Vendor List) của mainboard"",""Nên mua cùng kit RAM (cùng hãng, tốc độ, CAS)""]},{""step"":2,""title"":""Tháo RAM cũ (nếu cần)"",""description"":""Mở clip 2 đầu khe RAM, nhẹ nhàng rút RAM ra."",""tips"":[""DDR4: 2 clip. DDR5: thường 1 clip""]},{""step"":3,""title"":""Lắp RAM mới"",""description"":""Mở clip, đặt RAM đúng chiều (rãnh khớp), ấn đều 2 bên đến khi click. Dual-channel: A2 + B2."",""tips"":[""Nếu thêm RAM, cắm cùng khe channel với RAM cũ"",""4 thanh RAM: cắm đầy A1+A2+B1+B2""]},{""step"":4,""title"":""Enable XMP/EXPO trong BIOS"",""description"":""Boot → vào BIOS → enable XMP 3.0 (Intel) hoặc EXPO (AMD) → Save & Restart."",""tips"":[""Nếu không stable, thử Profile 1 trước, Profile 2 nếu có"",""Kiểm tra trong Windows: Task Manager → Performance → Memory""]}]"
"guide-install-ssd","Hướng dẫn lắp SSD M.2 NVMe","easy","10 phút","[""Tua vít Phillips #0 hoặc #1 (nhỏ)""]","[{""step"":1,""title"":""Xác định khe M.2"",""description"":""Mở manual mainboard, tìm khe M.2 PCIe trống. Khe gần CPU thường nhanh nhất (PCIe 4.0/5.0 direct CPU lanes)."",""tips"":[""Một số khe M.2 share bandwidth với SATA ports — kiểm tra manual""]},{""step"":2,""title"":""Tháo heatsink M.2"",""description"":""Tháo ốc và gỡ heatsink M.2 (nếu mainboard có đi kèm). Gỡ miếng film bảo vệ thermal pad."",""tips"":[""Giữ lại heatsink, nó giúp SSD không bị thermal throttle""]},{""step"":3,""title"":""Lắp SSD M.2"",""description"":""Cắm SSD vào khe M.2 ở góc 30°, sau đó ấn xuống và vặn ốc giữ. Lắp lại heatsink."",""tips"":[""SSD M.2 2280 (80mm) là kích thước phổ biến nhất"",""Không vặn ốc quá chặt""]},{""step"":4,""title"":""Cài Windows hoặc format"",""description"":""Nếu SSD mới cho OS: boot từ USB cài Windows. Nếu thêm storage: vào Disk Management → Initialize → New Volume."",""tips"":[""Chọn GPT partition (UEFI) thay vì MBR cho SSD mới"",""Clone OS từ SSD cũ sang mới bằng Macrium Reflect hoặc Acronis""]}]"
"guide-install-aio","Hướng dẫn lắp tản nhiệt nước AIO","medium","30-45 phút","[""Tua vít Phillips #2"",""Keo tản nhiệt (thay thế nếu cần)""]","[{""step"":1,""title"":""Lắp bracket mounting"",""description"":""Gắn backplate phía sau mainboard (tùy Intel/AMD). Vặn standoff ốc lên backplate."",""tips"":[""LGA 1700: dùng bracket LGA 1700 (không dùng LGA 1200)"",""AM5: hầu hết dùng AM4 bracket""]},{""step"":2,""title"":""Lắp quạt vào radiator"",""description"":""Bắt quạt vào radiator bằng ốc dài. Hướng gió: intake (front) hoặc exhaust (top). Quạt push (đẩy qua radiator)."",""tips"":[""Front mount: quạt intake (gió mát từ ngoài vào qua radiator)"",""Top mount: quạt exhaust (gió nóng đẩy ra ngoài qua radiator)"",""Kiểm tra hướng mũi tên trên quạt""]},{""step"":3,""title"":""Lắp radiator vào case"",""description"":""Bắt radiator + quạt vào case (front/top). Dùng ốc đi kèm AIO."",""tips"":[""Ống dẫn nước (tube) nên ở phía dưới radiator khi mount top"",""Front mount: radiator tube ở dưới hoặc cạnh""]},{""step"":4,""title"":""Lắp pump head lên CPU"",""description"":""Bôi keo tản nhiệt lên CPU (nếu pump chưa có pre-applied). Đặt pump head lên CPU, vặn ốc chéo đều."",""tips"":[""Vặn ốc theo hình chữ X: trên-trái → dưới-phải → trên-phải → dưới-trái"",""Không vặn quá chặt một lúc, xoay vòng mỗi ốc vài vòng""]},{""step"":5,""title"":""Cắm cáp và hoàn tất"",""description"":""Cắm pump vào CPU_FAN hoặc AIO_PUMP header. Cắm quạt vào CPU_FAN hoặc SYS_FAN header."",""tips"":[""Pump nên chạy full speed (set trong BIOS)"",""Quạt radiator set theo temperature curve"",""BIOS: set CPU_FAN/AIO_PUMP header""]}]"
"guide-install-windows","Hướng dẫn cài Windows 11 từ USB","easy","30-60 phút","[""USB 8GB trở lên"",""PC/Laptop khác để tạo USB bootable"",""Kết nối Internet (cho activation + driver)""]","[{""step"":1,""title"":""Tạo USB bootable Windows 11"",""description"":""Trên PC khác: tải Media Creation Tool từ microsoft.com. Chạy tool, chọn 'Create installation media for another PC', chọn USB flash drive."",""tips"":[""USB sẽ bị format, backup trước"",""Hoặc dùng Rufus + file ISO Windows 11"",""Cần USB 8GB trở lên""]},{""step"":2,""title"":""Boot từ USB"",""description"":""Cắm USB vào PC mới. Bật PC, nhấn F12/F11/Del (tùy mainboard) để vào Boot Menu. Chọn boot từ USB."",""tips"":[""ASUS: F8, MSI: F11, Gigabyte: F12"",""Hoặc vào BIOS → Boot Priority → đặt USB lên đầu""]},{""step"":3,""title"":""Cài đặt Windows 11"",""description"":""Chọn ngôn ngữ, nhấn Install Now. Nhập key (hoặc skip). Chọn Custom Install. Chọn ổ SSD, nhấn Next."",""tips"":[""Nếu không thấy ổ SSD: cần load driver Intel VMD (Z790/B760) từ USB riêng"",""Xóa tất cả partition cũ nếu cài clean install"",""Chọn GPT + UEFI (không MBR Legacy)""]},{""step"":4,""title"":""Setup ban đầu"",""description"":""Đặt tên user, mật khẩu, kết nối WiFi/LAN, Microsoft account. Chờ Windows setup hoàn tất."",""tips"":[""Có thể dùng account offline nếu không muốn Microsoft account"",""Bỏ chọn các tùy chọn telemetry nếu muốn privacy""]},{""step"":5,""title"":""Cài driver"",""description"":""Cài GPU driver (nvidia.com/geforce hoặc amd.com/drivers). Cài chipset driver từ website mainboard. Windows Update cho driver còn lại."",""tips"":[""GPU driver: chọn Game Ready Driver (NVIDIA) hoặc Adrenalin (AMD)"",""Cài driver chipset trước, rồi GPU, rồi audio/LAN"",""Dùng Snappy Driver Installer nếu cần nhiều driver""]}]"
"guide-cable-management","Hướng dẫn cable management đẹp","easy","30-60 phút","[""Dây rút nhựa (cable ties)"",""Kéo cắt dây rút"",""Velcro straps (khuyến nghị)""]","[{""step"":1,""title"":""Lên kế hoạch đi dây"",""description"":""Xem vị trí các header trên mainboard: 24-pin, CPU 8-pin, GPU power, USB, audio, fan. Tìm các lỗ cable routing trên case."",""tips"":[""Case modern có nhiều lỗ routing phía sau"",""Luồn dây từ phía sau backplate → ra front qua lỗ gần nhất""]},{""step"":2,""title"":""Đi cáp nguồn chính"",""description"":""Cáp ATX 24-pin: luồn phía sau, ra lỗ bên phải mainboard. Cáp CPU 8-pin: luồn phía sau, ra lỗ trên cùng gần CPU header."",""tips"":[""Cáp dẹp (Corsair, NZXT) dễ đi hơn cáp tròn"",""Extension cable (từ CableMod, AsiaHorse) đẹp hơn cáp stock""]},{""step"":3,""title"":""Đi cáp GPU và front panel"",""description"":""Cáp GPU power: luồn phía sau, ra lỗ gần khe PCIe. Cáp front panel: gom chung, đi phía sau."",""tips"":[""Dùng cable combs cho GPU power cable đẹp hơn"",""Gom nhóm cáp front panel nhỏ bằng dây rút mini""]},{""step"":4,""title"":""Gom dây phía sau"",""description"":""Dùng dây rút hoặc velcro straps gom tất cả dây thừa phía sau backplate. Dùng khe HDD/SSD bay để giấu dây."",""tips"":[""Velcro straps tái sử dụng được, tốt hơn dây rút"",""Không gom quá chặt, để dễ tháo khi cần upgrade"",""Cắt bớt dây rút thừa sau khi gom""]}]"
"guide-clean-pc","Hướng dẫn vệ sinh PC định kỳ","easy","30-60 phút","[""Bình xịt khí nén (compressed air)"",""Cọ mềm chống tĩnh điện"",""Khăn microfiber"",""Keo tản nhiệt (nếu thay)"",""Cồn isopropyl 90%+ (nếu thay keo)""]","[{""step"":1,""title"":""Tắt máy và chuẩn bị"",""description"":""Tắt PC, rút nguồn, đợi 5 phút. Mang ra nơi thoáng khí (ban công, sân). Mở 2 bên panel case."",""tips"":[""Không vệ sinh trong phòng kín, bụi sẽ bay khắp nơi"",""Đeo khẩu trang nếu PC rất bụi""]},{""step"":2,""title"":""Xịt bụi bình khí nén"",""description"":""Dùng bình khí nén xịt sạch bụi: quạt case, quạt CPU cooler, GPU, khe RAM, PSU, filter. Xịt ngắn, không liên tục."",""tips"":[""Giữ quạt cố định khi xịt (tránh quạt quay ngược hỏng bearing)"",""Xịt từ trong ra ngoài"",""Không lật ngược bình khí nén (sẽ phun chất lỏng)""]},{""step"":3,""title"":""Vệ sinh chi tiết"",""description"":""Dùng cọ mềm quét bụi trên mainboard, khe RAM, khe PCIe. Lau filter bụi bằng nước ấm, phơi khô."",""tips"":[""Filter bụi giặt được = giặt bằng nước ấm + xà phòng"",""Không dùng máy hút bụi trực tiếp lên mainboard (tĩnh điện)""]},{""step"":4,""title"":""Thay keo tản nhiệt (6-12 tháng/lần)"",""description"":""Tháo cooler, lau sạch keo cũ bằng cồn isopropyl + giấy lọc cafe. Bôi keo mới, lắp lại cooler."",""tips"":[""Keo tốt: Thermal Grizzly Kryonaut, Noctua NT-H1, Arctic MX-6"",""Lượng keo: bằng hạt gạo/đậu xanh ở giữa CPU"",""Không cần thay keo nếu nhiệt độ vẫn ổn""]}]"
"guide-overclock-cpu","Hướng dẫn ép xung CPU cơ bản","hard","1-2 giờ (tuning)","[""CPU K/KF (Intel) hoặc Ryzen (AMD)"",""Mainboard Z-series (Intel) hoặc B550+/B650+ (AMD)"",""Tản nhiệt tốt (AIO 240mm+ hoặc NH-D15)"",""Phần mềm: HWiNFO64, Cinebench, Prime95""]","[{""step"":1,""title"":""Chuẩn bị và benchmark stock"",""description"":""Chạy Cinebench R23 multi-core ở stock để có baseline score. Ghi nhận nhiệt độ max (HWiNFO64)."",""tips"":[""Stock score làm baseline so sánh"",""Nhiệt độ stock nên < 85°C"",""Update BIOS lên bản mới nhất""]},{""step"":2,""title"":""Tăng CPU multiplier từ từ"",""description"":""Vào BIOS → OC settings. Intel: tăng All-Core Ratio lên 1 notch (VD: 50→51). AMD: dùng PBO2 + Curve Optimizer."",""tips"":[""Intel: tăng 100MHz mỗi lần (1 multiplier)"",""AMD: PBO2 Curve Optimizer giảm -15 đến -30 per core"",""Không chỉnh voltage lúc đầu, để Auto""]},{""step"":3,""title"":""Test stability"",""description"":""Chạy Cinebench R23 → nếu pass, chạy Prime95 Small FFTs 15 phút. Kiểm tra nhiệt độ < 90°C."",""tips"":[""Crash/BSOD = không stable, giảm lại hoặc tăng voltage"",""Prime95 Small FFTs test worst-case thermal"",""Nếu vượt 95°C, dừng ngay → cần cooler tốt hơn""],""warning"":""Nhiệt độ > 100°C có thể gây hỏng CPU vĩnh viễn. Luôn monitor nhiệt độ!""},{""step"":4,""title"":""Fine-tune voltage và lặp lại"",""description"":""Nếu cần thêm stability: tăng Vcore 0.01V. Nếu quá nóng: giảm voltage. Lặp lại bước 2-3 cho đến khi tìm được sweet spot."",""tips"":[""Sweet spot: hiệu năng tăng 5-15% với nhiệt độ < 90°C"",""Intel 14th: Vcore safe < 1.35V, AMD Zen4: PBO2 auto voltage"",""Ghi chép mỗi setting để dễ rollback""]}]"
"guide-overclock-ram","Hướng dẫn ép xung RAM (XMP/EXPO/Manual)","hard","1-3 giờ (tuning)","[""Phần mềm: Thaiphoon Burner (đọc chip info)"",""TestMem5 + Anta777 extreme profile"",""HWiNFO64"",""DRAM Calculator (AMD Ryzen)""]","[{""step"":1,""title"":""Enable XMP/EXPO"",""description"":""Vào BIOS → Memory settings → Enable XMP 3.0 (Intel) hoặc EXPO (AMD). Save & Restart. Test bằng Memtest86 hoặc TestMem5."",""tips"":[""XMP/EXPO là OC profile từ nhà sản xuất RAM, an toàn"",""Nếu không boot: clear CMOS, thử profile thấp hơn"",""DDR5-6000 CL30 EXPO = sweet spot AMD AM5""]},{""step"":2,""title"":""Manual tuning (nâng cao)"",""description"":""Tăng frequency: DDR5-5600 → 6000 → 6200. Tighten timing: CL30 → CL28. Tăng DRAM voltage nếu cần."",""tips"":[""DDR5 safe voltage: lên đến 1.4V"",""DDR4 safe voltage: lên đến 1.45V"",""Mỗi lần chỉ thay đổi 1 tham số""]},{""step"":3,""title"":""Test stability"",""description"":""Chạy TestMem5 với Anta777 extreme profile: ít nhất 3 cycles (30-60 phút). Nếu error → giảm frequency hoặc nới timing."",""tips"":[""1 error = không stable, cần chỉnh"",""Windows stable != RAM stable, phải dùng memory test tool"",""Test qua đêm cho chắc chắn""]}]"
