"id","productId","userId","userName","rating","title","content","pros","cons","verified","createdAt"
"rv-cpu-1","cpu-i5-14400f","user-rv-cpu-1","Minh Tuấn","5","Best value CPU 2024","Mua về lắp xong chạy mượt luôn. Gaming FHD Ultra mọi game không vấn đề gì. Nhiệt độ max 72°C với AK400.","[""Giá quá rẻ cho hiệu năng"",""Đủ mạnh gaming FHD"",""Nhiệt độ thấp, cooler rẻ OK""]","[""Không ép xung được"",""Không có iGPU""]","true","2024-05-01"
"rv-cpu-2","cpu-i5-14400f","user-rv-cpu-2","Hoàng Anh","4","Đáng tiền, nhưng nên có DDR5","Hiệu năng gaming rất tốt, nhưng DDR5 platform đắt hơn DDR4 một chút. Với ai đang build mới thì OK.","[""10 nhân 16 luồng mạnh mẽ"",""Không cần board Z790""]","[""DDR5 board đắt hơn"",""Chỉ PCIe 4.0 trên B760""]","true","2024-05-12"
"rv-cpu-3","cpu-i5-12400f","user-rv-cpu-3","Thanh Long","5","Huyền thoại budget","Mua từ 2022 đến giờ vẫn chạy ngon. Chơi mọi game FHD không vấn đề. Combo với B660 + DDR4 rẻ cực.","[""Siêu rẻ"",""Hiệu năng gaming tương đương 14400F"",""Cooler box tạm đủ""]","[""6 nhân bắt đầu thấy hạn chế ở một số game mới"",""Nền tảng cũ""]","true","2024-02-03"
"rv-cpu-4","cpu-r5-5600","user-rv-cpu-4","Đức Huy","5","AMD AM4 value king","Mua R5 5600 giá 2.5 triệu, combo B550 + DDR4 3600 siêu rẻ. Chơi game FHD cực mượt. AM4 platform mature.","[""Giá cực rẻ"",""Platform AM4 đã mature, ít bug"",""Đủ mạnh cho 99% game""]","[""AM4 dead-end, không upgrade được"",""DDR4 only""]","true","2024-10-22"
"rv-cpu-5","cpu-r7-7800x3d","user-rv-cpu-5","Quang Hải","5","VUA GAMING không đối thủ","V-Cache thật sự khác biệt! FPS cao hơn 10-20% so với i9-14900K trong nhiều game. CS2, Cyberpunk, Starfield đều mượt hơn hẳn.","[""FPS gaming #1"",""V-Cache 96MB incredible"",""Nhiệt độ thấp hơn 7950X""]","[""Đắt hơn R5 7600X nhiều"",""Đa nhiệm kém hơn i7-14700K"",""Không ép xung""]","true","2024-10-01"
"rv-cpu-6","cpu-r7-7800x3d","user-rv-cpu-6","Nguyễn Văn A","5","Worth every đồng","Build với RTX 4080S, mọi game 1440p Ultra > 100fps. V-Cache technology quá vi diệu.","[""1440p Ultra gaming beast"",""Power consumption thấp"",""AM5 future-proof""]","[""Giá premium"",""Stock hay hết hàng""]","true","2024-08-12"
"rv-cpu-7","cpu-i9-14900k","user-rv-cpu-7","Phạm Hùng","4","Đa nhiệm monster, gaming thì...","24C/32T beast cho streaming + gaming. Nhưng gaming thuần thì 7800X3D ngon hơn. Cần AIO 360 vì rất nóng.","[""24 nhân 32 luồng beast"",""Stream + game đồng thời"",""Ép xung mạnh""]","[""Rất nóng (100°C dưới Prime95)"",""Tốn điện 253W"",""Gaming kém 7800X3D""]","true","2024-10-01"
"rv-cpu-8","cpu-r5-7600x","user-rv-cpu-8","Trần Văn B","4","Entry AM5 tốt","Giá hợp lý cho AM5, DDR5 future-proof. Gaming kém 7800X3D 10-15% nhưng rẻ hơn gấp đôi.","[""Giá hợp lý cho AM5"",""DDR5 + PCIe 5.0"",""Có iGPU RDNA 2""]","[""Nóng hơn 5600X"",""Cần cooler aftermarket""]","true","2024-07-10"
"rv-cpu-9","cpu-r9-7950x","user-rv-cpu-9","Trọng Đại","5","Workstation monster","16C/32T cho content creation, render Blender, compile code. Quá nhanh. Với AIO 360 chạy full load 80°C.","[""16 nhân 32 luồng"",""Cinebench R23 Multi = 37000+"",""AM5 platform""]","[""Giá cao"",""Gaming kém 7800X3D"",""Cần cooling tốt""]","true","2024-06-01"
"rv-cpu-10","cpu-i7-14700k","user-rv-cpu-10","Lê Văn C","5","All-rounder tuyệt vời","20C/28T đa nhiệm mạnh + gaming rất tốt. Z790 + AIO 240 là đủ. Ép xung 5.6GHz single core.","[""Đa nhiệm + gaming balance"",""20 nhân mạnh mẽ"",""Ép xung được""]","[""Nóng (cần AIO 240+)"",""Đắt hơn R5 7600X nhiều""]","true","2024-02-28"
"rv-cpu-11","cpu-r5-5600g","user-rv-cpu-11","Anh Khoa","4","APU tuyệt vời cho budget","Vega 7 iGPU chơi được LOL, Valorant 60fps Medium. Build PC 5 triệu không cần GPU rời!","[""iGPU Vega 7 chơi eSports OK"",""Giá siêu rẻ"",""Đủ cho văn phòng + game nhẹ""]","[""iGPU yếu cho game AAA"",""AM4 dead-end""]","true","2024-09-22"
"rv-cpu-12","cpu-i3-12100f","user-rv-cpu-12","Hữu Thiện","4","Budget gaming starter","4C/8T vẫn chơi game FHD OK. Combo 12100F + B660 + DDR4 chỉ ~4 triệu total.","[""Siêu budget"",""Đủ chơi eSports"",""Nhiệt thấp""]","[""4 nhân sẽ bottleneck game mới"",""Không iGPU""]","true","2024-06-22"
"rv-gpu-1","gpu-rtx4060","user-rv-gpu-1","Minh Quân","5","DLSS 3 game changer","RTX 4060 + DLSS 3 Frame Gen = tăng FPS gấp đôi trong Cyberpunk. FHD Ultra + RT mượt. Power consumption chỉ 115W!","[""DLSS 3 Frame Generation"",""Chỉ 115W TDP"",""FHD gaming excellent""]","[""8GB VRAM lo ngại future"",""1440p hơi yếu ở Ultra""]","true","2024-06-01"
