"id","component1Category","component2Category","matchKey","description"
"compat-lga1700-z790","cpu","mainboard","LGA1700_DDR5","CPU Intel Gen 12/13/14 (LGA 1700) tương thích với mainboard Z790/B760/H770/Z690/B660 DDR5"
"compat-lga1700-ddr4","cpu","mainboard","LGA1700_DDR4","CPU Intel Gen 12/13/14 (LGA 1700) tương thích với mainboard B660/H610 DDR4"
"compat-am5-x670e","cpu","mainboard","AM5_DDR5","CPU AMD Ryzen 7000/8000 (AM5) tương thích với mainboard X670E/X670/B650E/B650/A620 DDR5"
"compat-am4-b550","cpu","mainboard","AM4_DDR4","CPU AMD Ryzen 3000/5000 (AM4) tương thích với mainboard B550/X570/B450/A520 DDR4"
"compat-ddr5-board","ram","mainboard","DDR5","RAM DDR5 chỉ dùng được với mainboard DDR5. KHÔNG tương thích DDR4 ngược lại"
"compat-ddr4-board","ram","mainboard","DDR4","RAM DDR4 chỉ dùng được với mainboard DDR4. Khe cắm khác vật lý với DDR5"
"compat-ram-dual","ram","mainboard","DUAL_CHANNEL","Luôn dùng 2 thanh RAM cùng loại (dual-channel) để tăng hiệu năng 15-30%. Cắm khe A2+B2"
"compat-ddr5-am5","ram","cpu","DDR5_AM5_6000","Với CPU AMD AM5, DDR5-6000 CL30 là sweet spot tốt nhất. EXPO profile recommended"
"compat-ddr4-am4","ram","cpu","DDR4_AM4_3600","Với CPU AMD AM4, DDR4-3600 CL16 là sweet spot tối ưu (1:1 FCLK). Trên 3600 diminishing returns"
"compat-ddr5-intel","ram","cpu","DDR5_INTEL","Với CPU Intel 12/13/14, DDR5-5600~6000 cho hiệu năng tốt nhất. XMP 3.0 recommended"
"compat-4090-psu","gpu","psu","4090_PSU_850W","RTX 4090 cần PSU tối thiểu 850W (khuyến nghị 1000W). Cần cáp 16-pin 12VHPWR hoặc adapter 3x8-pin"
"compat-4080s-psu","gpu","psu","4080S_PSU_750W","RTX 4080 Super cần PSU tối thiểu 750W (khuyến nghị 850W). Cáp 16-pin 12VHPWR"
"compat-4070tis-psu","gpu","psu","4070TIS_PSU_700W","RTX 4070 Ti Super cần PSU tối thiểu 700W (khuyến nghị 750W)"
"compat-4070s-psu","gpu","psu","4070S_PSU_650W","RTX 4070 Super cần PSU tối thiểu 650W. Chỉ cần 1 cáp 8-pin hoặc 12VHPWR"
"compat-4070-psu","gpu","psu","4070_PSU_650W","RTX 4070 cần PSU tối thiểu 650W"
"compat-4060ti-psu","gpu","psu","4060TI_PSU_550W","RTX 4060 Ti cần PSU tối thiểu 550W (khuyến nghị 650W). Chỉ 1 cáp 8-pin"
"compat-4060-psu","gpu","psu","4060_PSU_550W","RTX 4060 cần PSU 550W. TDP chỉ 115W, rất hiệu năng"
"compat-7900xtx-psu","gpu","psu","7900XTX_PSU_800W","RX 7900 XTX cần PSU tối thiểu 800W (khuyến nghị 850W). Dùng 2 cáp 8-pin"
